,name,numeric_id,id,barcode
0,Abi3bp,0,NM_178790,0  0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  0  0  0
1,Ablim1,1,NM_001103178,0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1
2,Ackr3,2,NM_007722,0  0  0  1  0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0
3,Acp5,3,NM_007388,0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  1  0  0  0  0
4,Acta2,4,NM_007392,0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0
5,Adgre1,5,NM_010130,0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  1  0  0  0  0
6,Adm,6,NM_009627,0  1  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0
7,Aebp1,7,NM_001291857,0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0
8,Ahnak,8,NM_009643,0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  1  0
9,Ahr,9,NM_013464,0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0
10,Aif1,10,NM_019467,0  0  0  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0
11,Akt1,11,NM_009652,0  1  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0
12,Alox5ap,12,NM_009663,0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0
13,Angpt1,13,NM_001286062,0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1
14,Ankrd33b,14,NM_026153,0  1  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0
15,Ankrd37,15,NM_001039562,0  1  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0
16,Anln,16,NM_028390,0  0  1  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0
17,Aqp1,17,NM_007472,0  1  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0
18,Arg1,18,NM_007482,1  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0
