bitName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),1,0,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),0,2,561
RS0083,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),2,0,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),0,2,561
RS0095,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),3,1,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),1,2,561
RS0109,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),4,1,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),1,2,561
RS0175,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),5,2,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),2,2,561
RS0237,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),6,2,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),2,2,561
RS0247,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),7,3,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),3,2,561
RS0255,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),8,3,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),3,2,561
RS0307,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),9,4,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),4,2,561
RS0332,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),10,4,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),4,2,561
RS0343,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),11,5,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),5,2,561
RS0384,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),12,5,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),5,2,561
RS0406,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),13,6,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),6,2,561
RS0451,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),14,6,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),6,2,561
RS0468,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),15,7,750,4,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),7,2,561
RS0548,merFISH_merged,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),16,7,650,3,merFISH_merged_beads,(?<imageType>\w+)_(?<imagingRound>[0-9]+)_(?<fov>[0-9]+),7,2,561
