version,Harvard mouse cortex,,,,,,,,,,,,,,,,,,,,,
codebook,,,,,,,,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
name,numeric_id,id,barcode,,,,,,,,,,,,,,,,,,,
1700022I11Rik,0,ENSMUST0001,0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
1810046K07Rik,1,ENSMUST0002,0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
5031425F14Rik,2,ENSMUST0003,0  1  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
5730522E02Rik,3,ENSMUST0004,0  0  0  0  0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Acta2,4,ENSMUST0005,0  1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Adam2,5,ENSMUST0006,0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Adamts2,6,ENSMUST0007,0  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Adamts4,7,ENSMUST0008,1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Adra1b,8,ENSMUST0009,0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Alk,9,ENSMUST0010,0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0,,,,,,,,,,,,,,,,,,,
Ankfn1,10,ENSMUST0011,1  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Ano4,11,ENSMUST0012,0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1,,,,,,,,,,,,,,,,,,,
Aqp4,12,ENSMUST0013,1  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Asic4,13,ENSMUST0014,0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
B4galnt2,14,ENSMUST0015,0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  0  0,,,,,,,,,,,,,,,,,,,
B4galnt3,15,ENSMUST0016,0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1,,,,,,,,,,,,,,,,,,,
Barx2,16,ENSMUST0017,1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  1,,,,,,,,,,,,,,,,,,,
Bcl11b,17,ENSMUST0018,1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Bdnf,18,ENSMUST0019,0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Bgn,19,ENSMUST0020,0  0  1  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Blnk,20,ENSMUST0021,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  1,,,,,,,,,,,,,,,,,,,
Bmpr1b,21,ENSMUST0022,0  0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Brinp3,22,ENSMUST0023,0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
C1ql3,23,ENSMUST0024,0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
C1qtnf7,24,ENSMUST0025,0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Cacng5,25,ENSMUST0026,0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Calb2,26,ENSMUST0027,0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0,,,,,,,,,,,,,,,,,,,
Camk2d,27,ENSMUST0028,1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0,,,,,,,,,,,,,,,,,,,
Car3,28,ENSMUST0029,0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Cbln2,29,ENSMUST0030,0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Cbln4,30,ENSMUST0031,1  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Ccbe1,31,ENSMUST0032,1  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
