,version,Vancouver XP7049,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,codebook,,,,,,,,,,,,,,,,,,,,,,
1,bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
2,name,id,numeric_id,barcode,distribution,,,,,,,,,,,,,,,,,,
3,Adamdec1,ENSMUST00000022641,0,0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
4,Akt1,ENSMUST00000001780,1,0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0,2843,,,,,,,,,,,,,,,,,,
5,Akt2,ENSMUST00000108344,2,0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1,347,,,,,,,,,,,,,,,,,,
6,Akt3,ENSMUST00000111160,3,0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1,142,,,,,,,,,,,,,,,,,,
7,Amica1,ENSMUST00000050020,4,0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0,1,,,,,,,,,,,,,,,,,,
8,Anpep,ENSMUST00000107392,5,0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1,0,,,,,,,,,,,,,,,,,,
9,Bcl2,ENSMUST00000112751,6,0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1,30,,,,,,,,,,,,,,,,,,
10,Bcl6,ENSMUST00000023151,7,0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0,63,,,,,,,,,,,,,,,,,,
11,Blk,ENSMUST00000014597,8,0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
12,Blnk,ENSMUST00000054769,9,0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1,25,,,,,,,,,,,,,,,,,,
13,Car5b,ENSMUST00000033739,10,0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1,47,,,,,,,,,,,,,,,,,,
14,Ccr2,ENSMUST00000055918,11,0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0,0,,,,,,,,,,,,,,,,,,
15,Ccr3,ENSMUST00000039171,12,1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
16,Ccr7,ENSMUST00000103134,13,0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0,0,,,,,,,,,,,,,,,,,,
17,Cd19,ENSMUST00000206325,14,0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1,0,,,,,,,,,,,,,,,,,,
