version,Vancouver XP7049,,,,,,,,,,,,,,,,,,,,,
codebook,,,,,,,,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
name,id,numeric_id,barcode
Adamdec1,ENSMUST00000022641,0,0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Akt1,ENSMUST00000001780,1,0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0
Akt2,ENSMUST00000108344,2,0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1
Akt3,ENSMUST00000111160,3,0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1
Amica1,ENSMUST00000050020,4,0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0
Anpep,ENSMUST00000107392,5,0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1
Bcl2,ENSMUST00000112751,6,0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1
Bcl6,ENSMUST00000023151,7,0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0
Blk,ENSMUST00000014597,8,0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0
Blnk,ENSMUST00000054769,9,0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1
Car5b,ENSMUST00000033739,10,0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1
Ccr2,ENSMUST00000055918,11,0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0
Ccr3,ENSMUST00000039171,12,1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0
Ccr7,ENSMUST00000103134,13,0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0
Cd19,ENSMUST00000206325,14,0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
Cd28,ENSMUST00000027165,15,0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0
Cd38,ENSMUST00000030964,16,0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0
Cd4,ENSMUST00000024044,17,1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0
Cd6,ENSMUST00000080292,18,0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0
Clec7a,ENSMUST00000195589,19,0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0
Cr2,ENSMUST00000082321,20,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1
Csf1r,ENSMUST00000025523,21,1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0
Csf3r,ENSMUST00000106162,22,0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0
Dock9,ENSMUST00000100299,23,1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0
Egf,ENSMUST00000029653,24,0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0
Egln2,ENSMUST00000080058,25,1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
Egln3,ENSMUST00000039516,26,0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1
Eif2ak3,ENSMUST00000034093,27,0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0
Eif4e2,ENSMUST00000076362,28,0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1
Erbb2,ENSMUST00000058295,29,0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1
Etv5,ENSMUST00000079601,30,0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1
Fosb,ENSMUST00000003640,31,0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0
Foxj1,ENSMUST00000036215,32,1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0
Gata3,ENSMUST00000102976,33,1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1
Gpr83,ENSMUST00000034408,34,0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1
Gtf3c1,ENSMUST00000055506,35,0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1
Hif1a,ENSMUST00000021530,36,1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
Hk2,ENSMUST00000000642,37,0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0
Icos,ENSMUST00000102827,38,0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0
Ikzf2,ENSMUST00000027146,39,0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0
Ikzf4,ENSMUST00000133342,40,0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0
Il12rb2,ENSMUST00000018485,41,0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0
Il17ra,ENSMUST00000002976,42,0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0
